原始流派名称,当前代码处理结果,建议合并后简体流派名称,处理建议,理由,人工确认
3D,3D,3D,保留,已是简体中文或通用规格/专名，建议保留,
３P,３P,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
3P・4P,多P,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
3P,3P,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
4P,4P,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
4人性爱,4人性爱,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
4時間以上作品,4小时以上作品,4小时以上作品,翻译/合并,与“4時間以上作品、4小时以上作品、4小時以上作品”统一为同一简体流派,
4小时以上作品,4小时以上作品,4小时以上作品,保留,已是简体中文或通用规格/专名，建议保留,
4小時以上作品,4小时以上作品,4小时以上作品,简体/写法统一,与“4時間以上作品、4小时以上作品、4小時以上作品”统一为同一简体流派,
4K,4K,4K,保留,已是简体中文或通用规格/专名，建议保留,
8K VR,8K VR,8K VR,保留,已是简体中文或通用规格/专名，建议保留,
8KVR,8K VR,8K VR,翻译/合并,与“8K VR、8KVR”统一为同一简体流派,
10代,10代,10多岁,翻译/合并,翻译为简体中文或修正不自然写法,
10英寸以上,10英寸以上,10英寸以上,保留,已是简体中文或通用规格/专名，建议保留,
16时间以上作品,16时间以上作品,16时间以上作品,保留,已是简体中文或通用规格/专名，建议保留,
18歳以上,18歳以上,18岁以上,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
30多岁,30多岁,30多岁,保留,已是简体中文或通用规格/专名，建议保留,
40多岁,40多岁,40多岁,保留,已是简体中文或通用规格/专名，建议保留,
60fps,60fps,60fps,保留,已是简体中文或通用规格/专名，建议保留,
69,69,69,保留,已是简体中文或通用规格/专名，建议保留,
1080p,1080p,1080p,保留,已是简体中文或通用规格/专名，建议保留,
阿姨,阿姨,阿姨,保留,已是简体中文或通用规格/专名，建议保留,
艾曼纽,艾曼纽,艾曼纽,保留,已是简体中文或通用规格/专名，建议保留,
爱情旅馆,爱情旅馆,爱情旅馆,保留,已是简体中文或通用规格/专名，建议保留,
按摩,按摩,按摩,保留,已是简体中文或通用规格/专名，建议保留,
按摩棒,按摩棒,按摩棒,保留,已是简体中文或通用规格/专名，建议保留,
傲娇,傲娇,傲娇,保留,已是简体中文或通用规格/专名，建议保留,
奥斯曼株式会社,奥斯曼株式会社,奥斯曼公司,翻译/合并,日文公司类型整体翻译为简体中文标签,已确认
白虎,白虎,无毛,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
白目・失神,翻白眼与晕厥,翻白眼与晕厥,翻译/合并,与“白目・失神、翻白眼与晕厥”统一为同一简体流派,
白人,白人,白人,保留,已是简体中文或通用规格/专名，建议保留,
白人女優,白人,白人,翻译/合并,与“白人、白人女優”统一为同一简体流派,
白色内裤,白色内裤,白色内裤,保留,已是简体中文或通用规格/专名，建议保留,
白天出軌,白天出軌,出轨,翻译/合并,与“白天出軌、不倫、不忠、出轨”等统一为同一简体流派,
白皙肌肤,白皙肌肤,白皙肌肤,保留,已是简体中文或通用规格/专名，建议保留,
搬家,搬家,搬家,保留,已是简体中文或通用规格/专名，建议保留,
办公室,办公室,办公室,保留,已是简体中文或通用规格/专名，建议保留,
伴侣,伴侣,伴侣,保留,已是简体中文或通用规格/专名，建议保留,
绑缚,绑缚,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
薄码,薄码,薄码,保留,已是简体中文或通用规格/专名，建议保留,
薄馬賽克,薄码,薄码,翻译/合并,与“薄码、薄馬賽克、ギリモザ”统一为同一简体流派,
保守,保守,保守,保留,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
报复,报复,报复,保留,已是简体中文或通用规格/专名，建议保留,
暴露服装,暴露服装,暴露服装,保留,已是简体中文或通用规格/专名，建议保留,
暴露癖,暴露癖,暴露癖,保留,已是简体中文或通用规格/专名，建议保留,
爆乳,巨乳,巨乳,翻译/合并,与“爆乳、巨乳、巨乳｜、巨乳爆乳”统一为同一简体流派,
卑猥,卑猥,猥亵,翻译/合并,翻译为简体中文或修正不自然写法,
背部骑乘位,背部骑乘位,逆骑乘位,翻译/合并,与“背部骑乘位、逆骑乘位”统一为同一简体流派,
背后插入,背后插入,后入式,翻译/合并,与“背后插入、后背位、后入式、バック”统一为同一简体流派,
鼻钩,鼻钩,鼻钩,保留,已是简体中文或通用规格/专名，建议保留,
鼻フック,鼻钩,鼻钩,翻译/合并,与“鼻钩、鼻フック”统一为同一简体流派,
比基尼,比基尼,比基尼,保留,已是简体中文或通用规格/专名，建议保留,
彼女,彼女,女友,翻译/合并,翻译为简体中文或修正不自然写法,
筆,筆,笔,翻译/合并,翻译为简体中文或修正不自然写法,
鞭子,鞭子,鞭子,保留,已是简体中文或通用规格/专名，建议保留,
变态,变态,变态,保留,已是简体中文或通用规格/专名，建议保留,
変身ヒロイン,超级女英雄,超级女英雄,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
変態,変態,变态,简体/写法统一,与“变态、変態”统一为同一简体流派,
變性者,跨性别/变性者,跨性别/变性者,翻译/合并,与“變性者、跨性别/变性者、ニューハーフ”统一为同一简体流派,
病院・クリニック,医院/诊所,医院/诊所,翻译/合并,与“病院・クリニック、医院/诊所”统一为同一简体流派,
不穿内裤,不穿内裤,不穿内裤,保留,已是简体中文或通用规格/专名，建议保留,
不穿胸罩,不穿胸罩,不穿胸罩,保留,已是简体中文或通用规格/专名，建议保留,
不倫,出轨,出轨,翻译/合并,与“白天出軌、不倫、不忠、出轨”等统一为同一简体流派,
不忠,不忠,出轨,翻译/合并,与“白天出軌、不倫、不忠、出轨”等统一为同一简体流派,
部活・マネージャー,社团经理,社团经理,翻译/合并,与“部活・マネージャー、社团经理”统一为同一简体流派,
部下・同僚,下属与同事,下属与同事,翻译/合并,与“部下・同僚、下属与同事”统一为同一简体流派,
采访,采访,采访,保留,已是简体中文或通用规格/专名，建议保留,
残酷画面,残酷画面,残酷画面,保留,已是简体中文或通用规格/专名，建议保留,
残虐表現,残酷画面,残酷画面,翻译/合并,与“残酷画面、残虐表現、殘忍畫面”统一为同一简体流派,
殘忍畫面,残酷画面,残酷画面,翻译/合并,与“残酷画面、残虐表現、殘忍畫面”统一为同一简体流派,
侧位内射,侧位内射,侧位内射,保留,已是简体中文或通用规格/专名，建议保留,
厕所,厕所,厕所,保留,已是简体中文或通用规格/专名，建议保留,
叉开双腿,叉开双腿,叉开双腿,保留,已是简体中文或通用规格/专名，建议保留,
挿入,挿入,插入,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
插入潮吹,插入潮吹,插入潮吹,保留,已是简体中文或通用规格/专名，建议保留,
超乳,超乳,超乳,保留,已是简体中文或通用规格/专名，建议保留,
超VIP,超VIP,VIP,翻译/合并,与“超VIP、VIP”统一为同一简体流派,
潮吹,潮吹,潮吹,保留,已是简体中文或通用规格/专名，建议保留,
潮吹き,潮吹,潮吹,翻译/合并,与“潮吹、潮吹き”统一为同一简体流派,
车内,车内,车内,保留,已是简体中文或通用规格/专名，建议保留,
车内性爱,车内性爱,车内性爱,保留,已是简体中文或通用规格/专名，建议保留,
车站性交,车站性交,车站性交,保留,已是简体中文或通用规格/专名，建议保留,
车掌小姐,车掌小姐,车掌小姐,保留,已是简体中文或通用规格/专名，建议保留,
車,車,汽车,翻译/合并,翻译为简体中文或修正不自然写法,
成熟的女人,熟女,熟女,翻译/合并,与“成熟的女人、美熟女、熟女”统一为同一简体流派,
痴漢,性骚扰,性骚扰,翻译/合并,与“痴漢、电车痴汉、性骚扰、性騷擾”统一为同一简体流派,
痴女,痴女,痴女,保留,已是简体中文或通用规格/专名，建议保留,
出道,出道,出道,保留,已是简体中文或通用规格/专名，建议保留,
出轨,出轨,出轨,保留,已是简体中文或通用规格/专名，建议保留,
出轨/不忠,出轨/不忠,出轨,翻译/合并,与“白天出軌、不倫、不忠、出轨”等统一为同一简体流派,
出軌,绿帽,出轨,调整现有映射,当前会处理为“绿帽”，建议修正语义或与同义项统一,
初撮り,初次拍摄,初次拍摄,翻译/合并,翻译为简体中文或修正不自然写法,
初登場,初登场,出道,翻译/合并,与“出道、初登場、处女作、首次亮相”等统一为同一简体流派,
初体验,初体验,初体验,保留,已是简体中文或通用规格/专名，建议保留,
厨房,厨房,厨房,保留,已是简体中文或通用规格/专名，建议保留,
処女,处女,处女,简体/写法统一,与“処女、处女、處女”统一为同一简体流派,
处男,处男,处男,保留,已是简体中文或通用规格/专名，建议保留,
处女,处女,处女,保留,已是简体中文或通用规格/专名，建议保留,
处女作,处女作,出道,翻译/合并,与“出道、初登場、处女作、首次亮相”等统一为同一简体流派,
處男,处男,处男,简体/写法统一,与“处男、處男、童貞”统一为同一简体流派,
處女,处女,处女,简体/写法统一,与“処女、处女、處女”统一为同一简体流派,
触手,触手,触手,保留,已是简体中文或通用规格/专名，建议保留,
传奇女优,传奇女优,传奇女优,保留,已是简体中文或通用规格/专名，建议保留,
床,床,床,保留,已是简体中文或通用规格/专名，建议保留,
床上性爱,床上性爱,床上性爱,保留,已是简体中文或通用规格/专名，建议保留,
粗暴,粗暴,粗暴,保留,已是简体中文或通用规格/专名，建议保留,
粗大按摩棒,粗大按摩棒,按摩棒,保留,已是简体中文或通用规格/专名，建议保留,
催眠,催眠,催眠,保留,已是简体中文或通用规格/专名，建议保留,
催情剂,催情剂,催情剂,保留,已是简体中文或通用规格/专名，建议保留,
搭讪,搭讪,搭讪,保留,已是简体中文或通用规格/专名，建议保留,
打底裤,打底裤,打底裤,保留,已是简体中文或通用规格/专名，建议保留,
打飞机,打飞机,自慰,翻译/合并,与“打飞机、打飛機、打手槍、淫荡手淫”等统一为同一简体流派,
打飛機,打飛機,自慰,翻译/合并,与“打飞机、打飛機、打手槍、淫荡手淫”等统一为同一简体流派,
打屁股,打屁股,打屁股,保留,已是简体中文或通用规格/专名，建议保留,
打手槍,手交,自慰,调整现有映射,当前会处理为“手交”，建议修正语义或与同义项统一,
打桩机,打桩机,打桩机,保留,已是简体中文或通用规格/专名，建议保留,
大屁股,大屁股,大屁股,保留,已是简体中文或通用规格/专名，建议保留,
大叔,大叔,大叔,保留,已是简体中文或通用规格/专名，建议保留,
单人女性,单人女性,单人女性,保留,已是简体中文或通用规格/专名，建议保留,
单体作品,单体作品,单体作品,保留,已是简体中文或通用规格/专名，建议保留,
単体作品,单体作品,单体作品,翻译/合并,与“单体作品、単体作品、單體作品”统一为同一简体流派,
單體作品,单体作品,单体作品,简体/写法统一,与“单体作品、単体作品、單體作品”统一为同一简体流派,
旦那,旦那,丈夫,翻译/合并,与“旦那、丈夫”统一为同一简体流派,
蕩婦,淫乱,淫乱,翻译/合并,与“蕩婦、花癡、淫乱、淫乱・ハード系”等统一为同一简体流派,
倒追,倒追,倒追,保留,已是简体中文或通用规格/专名，建议保留,
盗撮・のぞき,偷窥,偷窥,翻译/合并,与“盗撮・のぞき、偷窥”统一为同一简体流派,
地下室,地下室,地下室,保留,已是简体中文或通用规格/专名，建议保留,
第一人称视角,第一人称视角,第一视角,翻译/合并,与“第一人称视角、第一人稱攝影、第一视角、主观视角”等统一为同一简体流派,
第一人稱攝影,第一视角,第一视角,翻译/合并,与“第一人称视角、第一人稱攝影、第一视角、主观视角”等统一为同一简体流派,
第一视角,第一视角,第一视角,保留,已是简体中文或通用规格/专名，建议保留,
电车痴汉,电车痴汉,性骚扰,翻译/合并,与“痴漢、电车痴汉、性骚扰、性騷擾”统一为同一简体流派,
电动按摩棒,电动按摩棒,按摩棒,保留,已是简体中文或通用规格/专名，建议保留,
电动按摩器,电动按摩器,按摩棒,翻译/合并,与“电动按摩棒、电动按摩器、電マ、女優按摩棒”统一为同一简体流派,
电动阳具,电动阳具,电动阳具,保留,已是简体中文或通用规格/专名，建议保留,
店员,店员,店员,保留,已是简体中文或通用规格/专名，建议保留,
電話,電話,电话,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
電マ,电动按摩棒,按摩棒,翻译/合并,与“电动按摩棒、电动按摩器、電マ、女優按摩棒”统一为同一简体流派,
吊袜带,吊袜带,吊袜带,保留,已是简体中文或通用规格/专名，建议保留,
调教,调教,调教,保留,已是简体中文或通用规格/专名，建议保留,
調教,调教,调教,翻译/合并,与“调教、調教”统一为同一简体流派,
調教・奴隷,性奴,性奴,翻译/合并,与“調教・奴隷、性奴”统一为同一简体流派,
丁字裤,丁字裤,丁字裤,保留,已是简体中文或通用规格/专名，建议保留,
丁字褲,丁字褲,丁字裤,简体/写法统一,与“丁字裤、丁字褲”统一为同一简体流派,
动漫,动漫,动漫,保留,已是简体中文或通用规格/专名，建议保留,
独立制作,独立制作,独立制作,保留,已是简体中文或通用规格/专名，建议保留,
独占配信,DMM独家,DMM独家,翻译/合并,与“独占配信、DMM独家、DMM獨家、DMM配信限定”统一为同一简体流派,
独佔動画,独佔動画,独家视频,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
堵嘴·喜剧,堵嘴·喜剧,堵嘴,翻译/合并,与“堵嘴·喜剧、口塞”统一为同一简体流派,
短发,短发,短发,保留,已是简体中文或通用规格/专名，建议保留,
短裤,短裤,短裤,保留,已是简体中文或通用规格/专名，建议保留,
多集,多集,多集,保留,已是简体中文或通用规格/专名，建议保留,
多毛,多毛,多毛,保留,已是简体中文或通用规格/专名，建议保留,
多人,多人,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
多人口交,多人口交,多人口交,保留,已是简体中文或通用规格/专名，建议保留,
多重提出する,多重提出する,多次射精,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
多P,多P,多P,保留,已是简体中文或通用规格/专名，建议保留,
恶作剧,恶作剧,恶作剧,保留,已是简体中文或通用规格/专名，建议保留,
惡作劇,恶作剧,恶作剧,翻译/合并,与“恶作剧、惡作劇、イタズラ”统一为同一简体流派,
二度射精,二度射精,二次射精,翻译/合并,翻译为简体中文或修正不自然写法,
二穴挿入,二穴挿入,双穴同插,翻译/合并,与“二穴挿入、二穴同插、二穴同入、アナルマンコ同時挿入”统一为同一简体流派,
二穴同插,二穴同插,双穴同插,翻译/合并,与“二穴挿入、二穴同插、二穴同入、アナルマンコ同時挿入”统一为同一简体流派,
二穴同入,二穴同入,双穴同插,翻译/合并,与“二穴挿入、二穴同插、二穴同入、アナルマンコ同時挿入”统一为同一简体流派,
翻白眼与晕厥,翻白眼与晕厥,翻白眼与晕厥,保留,已是简体中文或通用规格/专名，建议保留,
烦恼,烦恼,烦恼,保留,已是简体中文或通用规格/专名，建议保留,
房间,房间,房间,保留,已是简体中文或通用规格/专名，建议保留,
訪问,訪问,探访,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
放尿,放尿,放尿,保留,已是简体中文或通用规格/专名，建议保留,
放尿・失禁,小便/尿失禁,小便/尿失禁,翻译/合并,与“放尿・失禁、小便/尿失禁”统一为同一简体流派,
放置,放置,放置,保留,已是简体中文或通用规格/专名，建议保留,
粉红,粉红,粉红,保留,已是简体中文或通用规格/专名，建议保留,
粉嫩阴部,粉嫩阴部,粉嫩阴部,保留,已是简体中文或通用规格/专名，建议保留,
粉丝答谢,粉丝答谢,粉丝答谢,保留,已是简体中文或通用规格/专名，建议保留,
粪便,粪便,粪便,保留,已是简体中文或通用规格/专名，建议保留,
丰满,丰满,丰满,保留,已是简体中文或通用规格/专名，建议保留,
丰满/微胖,丰满/微胖,丰满/微胖,保留,已是简体中文或通用规格/专名，建议保留,
风格出众,风格出众,风格出众,保留,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
风呂,风呂,浴室,翻译/合并,与“风呂、浴室、お風呂”统一为同一简体流派,
风俗/泡泡浴,风俗/泡泡浴,风俗/泡泡浴,保留,已是简体中文或通用规格/专名，建议保留,
风俗娘/性工作者,风俗娘/性工作者,风俗娘/性工作者,保留,已是简体中文或通用规格/专名，建议保留,
風俗,风俗娘/性工作者,风俗娘/性工作者,翻译/合并,与“风俗娘/性工作者、風俗、妓女、キャバ嬢・風俗嬢”统一为同一简体流派,
服务生,服务生,服务生,保留,已是简体中文或通用规格/专名，建议保留,
服務生,服务生,服务生,翻译/合并,与“服务生、服務生、ウェイトレス”统一为同一简体流派,
福袋,福袋,福袋,保留,已是简体中文或通用规格/专名，建议保留,
附赠特典(AV),附赠特典(AV),附赠特典(AV),保留,已是简体中文或通用规格/专名，建议保留,
复古,复古,复古,保留,已是简体中文或通用规格/专名，建议保留,
复刻版,复刻版,复刻版,保留,已是简体中文或通用规格/专名，建议保留,
複数話,多集,多集,翻译/合并,与“多集、複数話”统一为同一简体流派,
縛り・緊縛,捆绑,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
覆面・マスク,蒙面,蒙面,翻译/合并,与“覆面・マスク、蒙面”统一为同一简体流派,
感谢祭,感谢祭,粉丝答谢,翻译/合并,与“粉丝答谢、感谢祭、ファン感謝・訪問”统一为同一简体流派,
肛交,肛交,肛交,保留,已是简体中文或通用规格/专名，建议保留,
肛门,肛门,肛门,保留,已是简体中文或通用规格/专名，建议保留,
肛门假阳具,肛门假阳具,肛门假阳具,保留,已是简体中文或通用规格/专名，建议保留,
肛门指法,肛门指法,肛门指法,保留,已是简体中文或通用规格/专名，建议保留,
肛门自慰,肛门自慰,肛门自慰,保留,已是简体中文或通用规格/专名，建议保留,
肛内中出,肛交,肛交,翻译/合并,与“肛交、肛内中出、アナル、アナル中出し”等统一为同一简体流派,
高,高挑,高挑,翻译/合并,与“高、高个子、高挑、長身”统一为同一简体流派,
高潮,高潮,高潮,保留,已是简体中文或通用规格/专名，建议保留,
高个子,高挑,高挑,翻译/合并,与“高、高个子、高挑、長身”统一为同一简体流派,
高跟鞋,高跟鞋,高跟鞋,保留,已是简体中文或通用规格/专名，建议保留,
高畫質,高清,高清,翻译/合并,与“高畫質、高清、ハイビジョン、フルハイビジョン(FHD)”统一为同一简体流派,
高领毛衣,高领毛衣,高领毛衣,保留,已是简体中文或通用规格/专名，建议保留,
高品质VR,高品质VR,高品质VR,保留,已是简体中文或通用规格/专名，建议保留,
高清,高清,高清,保留,已是简体中文或通用规格/专名，建议保留,
高手,高手,高手,保留,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
高挑,高挑,高挑,保留,已是简体中文或通用规格/专名，建议保留,
高中女生,高中女生,高中女生,保留,已是简体中文或通用规格/专名，建议保留,
格斗,格斗,格斗,保留,已是简体中文或通用规格/专名，建议保留,
格鬥家,格斗,格斗,翻译/合并,与“格斗、格鬥家、アクション・格闘”统一为同一简体流派,
个室,个室,单间,翻译/合并,翻译为简体中文或修正不自然写法,
各種職業,职业角色,职业角色,翻译/合并,与“各種職業、职业角色、職業色々”统一为同一简体流派,
给女性观众,给女性观众,给女性观众,保留,已是简体中文或通用规格/专名，建议保留,
給女性觀眾,给女性观众,给女性观众,翻译/合并,与“给女性观众、給女性觀眾、女性向け”统一为同一简体流派,
公共场所,公共场所,公共场所,保留,已是简体中文或通用规格/专名，建议保留,
公司,公司,公司,保留,已是简体中文或通用规格/专名，建议保留,
勾引,勾引,诱惑,翻译/合并,与“勾引、诱惑、誘惑”统一为同一简体流派,
购物,购物,购物,保留,已是简体中文或通用规格/专名，建议保留,
故事集,故事集,故事集,保留,已是简体中文或通用规格/专名，建议保留,
寡妇,寡妇,寡妇,保留,已是简体中文或通用规格/专名，建议保留,
寡婦,寡妇,寡妇,简体/写法统一,与“寡妇、寡婦、未亡人”统一为同一简体流派,
灌肠,灌肠,灌肠,保留,已是简体中文或通用规格/专名，建议保留,
灌腸,灌肠,灌肠,翻译/合并,与“灌肠、灌腸、浣腸”统一为同一简体流派,
龟甲捆绑,龟甲捆绑,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
鬼畜,粗暴,粗暴,翻译/合并,与“粗暴、鬼畜”统一为同一简体流派,
跪姿,跪姿,跪姿,保留,已是简体中文或通用规格/专名，建议保留,
國外進口,海外进口,海外进口,翻译/合并,与“國外進口、海外进口、洋ピン・海外輸入”统一为同一简体流派,
海外进口,海外进口,海外进口,保留,已是简体中文或通用规格/专名，建议保留,
含润滑液,含润滑液,含润滑液,保留,已是简体中文或通用规格/专名，建议保留,
汗流浃背,汗流浃背,汗流浃背,保留,已是简体中文或通用规格/专名，建议保留,
汗だく,汗流浃背,汗流浃背,翻译/合并,与“汗流浃背、汗だく、流汗”统一为同一简体流派,
喝酒,喝酒,饮酒,翻译/合并,翻译为简体中文或修正不自然写法,
喝口水,喝口水,吞精,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
合集,合集,合集,保留,已是简体中文或通用规格/专名，建议保留,
