原始流派名称,当前代码处理结果,建议合并后简体流派名称,处理建议,理由,人工确认
足交,足交,足交,保留,已是简体中文或通用规格/专名，建议保留,
足控,足控,足控,保留,已是简体中文或通用规格/专名，建议保留,
足コキ,足交,足交,翻译/合并,与“足交、足コキ”统一为同一简体流派,
最佳女演员/合集,最佳女演员/合集,最佳女演员/合集,保留,已是简体中文或通用规格/专名，建议保留,
醉倒,醉倒,醉倒,保留,已是简体中文或通用规格/专名，建议保留,
左右口交,左右口交,双人口交,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
座布団,座布団,坐垫,翻译/合并,翻译为简体中文或修正不自然写法,
做家务,做家务,做家务,保留,已是简体中文或通用规格/专名，建议保留,
AI生成作品,AI生成作品,AI生成作品,保留,已是简体中文或通用规格/专名，建议保留,
AV OPEN 2014 超重量级,AV OPEN 2014 超重量级,AV OPEN 2014 超重量级,保留,已是简体中文或通用规格/专名，建议保留,
AV OPEN 2014 重量级,AV OPEN 2014 重量级,AV OPEN 2014 重量级,保留,已是简体中文或通用规格/专名，建议保留,
AV OPEN 2015 女优部门,AV OPEN 2015 女优部门,AV OPEN 2015 女优部门,保留,已是简体中文或通用规格/专名，建议保留,
AV OPEN 2015 企画部门,AV OPEN 2015 企画部门,AV OPEN 2015 企画部门,保留,已是简体中文或通用规格/专名，建议保留,
AV OPEN 2015 素人部门,AV OPEN 2015 素人部门,AV OPEN 2015 业余演员部门,翻译/合并,复合名称中的日语词“素人”整体翻译为简体中文,
AV OPEN 2015 SM,AV OPEN 2015 SM,AV OPEN 2015 SM,保留,已是简体中文或通用规格/专名，建议保留,
AV女優,女优,女优,翻译/合并,与“女演员、女优、女优物、女優”等统一为同一简体流派,
AVOPEN2016剧情/纪录片部门,AVOPEN2016剧情/纪录片部门,AVOPEN2016剧情/纪录片部门,保留,已是简体中文或通用规格/专名，建议保留,
AVOPEN2016恋物癖部门,AVOPEN2016恋物癖部门,AVOPEN2016恋物癖部门,保留,已是简体中文或通用规格/专名，建议保留,
AVOPEN2016女优部门,AVOPEN2016女优部门,AVOPEN2016女优部门,保留,已是简体中文或通用规格/专名，建议保留,
AVOPEN2016女優部門,AVOPEN2016女优部门,AVOPEN2016女优部门,翻译/合并,与“AVOPEN2016女优部门、AVOPEN2016女優部門”统一为同一简体流派,
AVOPEN2016企划部门,AVOPEN2016企划部门,AVOPEN2016企划部门,保留,已是简体中文或通用规格/专名，建议保留,
AVOPEN2016企画部门,AVOPEN2016企画部门,AVOPEN2016企画部门,保留,已是简体中文或通用规格/专名，建议保留,
AVOPEN2016人妻·熟女部门,AVOPEN2016人妻·熟女部门,AVOPEN2016人妻·熟女部门,保留,已是简体中文或通用规格/专名，建议保留,
AVOPEN2016素人部门,AVOPEN2016素人部门,AVOPEN2016素人部门,保留,已是简体中文或通用规格/专名，建议保留,
AVOPEN2016综艺部门,AVOPEN2016综艺部门,AVOPEN2016综艺部门,保留,已是简体中文或通用规格/专名，建议保留,
D罩杯,D罩杯,D罩杯,保留,已是简体中文或通用规格/专名，建议保留,
DMM独家,DMM独家,DMM独家,保留,已是简体中文或通用规格/专名，建议保留,
DMM獨家,DMM独家,DMM独家,简体/写法统一,与“独占配信、DMM独家、DMM獨家、DMM配信限定”统一为同一简体流派,
DMM配信限定,DMM独家,DMM独家,翻译/合并,与“独占配信、DMM独家、DMM獨家、DMM配信限定”统一为同一简体流派,
DVD多士炉,DVD多士炉,DVD多士炉,保留,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
DVD多士爐,DVD多士炉,DVD多士炉,简体/写法统一,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
DVDトースター,DVD多士炉,DVD多士炉,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
Dカップ,D罩杯,D罩杯,翻译/合并,与“D罩杯、Dカップ”统一为同一简体流派,
E罩杯,E罩杯,E罩杯,保留,已是简体中文或通用规格/专名，建议保留,
Eカップ,E罩杯,E罩杯,翻译/合并,与“E罩杯、Eカップ”统一为同一简体流派,
F罩杯,F罩杯,F罩杯,保留,已是简体中文或通用规格/专名，建议保留,
Fカップ,F罩杯,F罩杯,翻译/合并,与“F罩杯、Fカップ”统一为同一简体流派,
G罩杯,G罩杯,G罩杯,保留,已是简体中文或通用规格/专名，建议保留,
Gカップ,G罩杯,G罩杯,翻译/合并,与“G罩杯、Gカップ”统一为同一简体流派,
How To,教学,教学,翻译/合并,与“教学、How To、HowTo”统一为同一简体流派,
HowTo,教学,教学,翻译/合并,与“教学、How To、HowTo”统一为同一简体流派,
Hカップ,H罩杯,H罩杯,翻译/合并,翻译为简体中文或修正不自然写法,
M男,受虐,受虐男,调整现有映射,当前会处理为“受虐”，建议修正语义或与同义项统一,
M女,受虐,受虐女性,调整现有映射,当前会处理为“受虐”，建议修正语义或与同义项统一,
MGS独家花絮,MGS独家花絮,MGS独家花絮,保留,已是简体中文或通用规格/专名，建议保留,
MGSだけのおまけ映像付き,MGS独家花絮,MGS独家花絮,翻译/合并,与“MGS独家花絮、MGSだけのおまけ映像付き”统一为同一简体流派,
OL,职场女性,职场女性,翻译/合并,与“职场女性、OL、スーツ、ビジネススーツ”统一为同一简体流派,
S级女优,S级女优,S级女优,保留,已是简体中文或通用规格/专名，建议保留,
SF,科幻,科幻,翻译/合并,与“科幻、SF”统一为同一简体流派,
SM,SM,SM,保留,已是简体中文或通用规格/专名，建议保留,
SM拘束,SM束缚,SM束缚,翻译/合并,与“SM拘束、SM束缚”统一为同一简体流派,
SM束缚,SM束缚,SM束缚,保留,已是简体中文或通用规格/专名，建议保留,
VIP,VIP,VIP,保留,已是简体中文或通用规格/专名，建议保留,
VR,VR,VR,保留,已是简体中文或通用规格/专名，建议保留,
VR専用,VR,VR,翻译/合并,与“虚拟现实、VR、VR専用”统一为同一简体流派,
アイドル,偶像艺人,偶像艺人,翻译/合并,与“偶像、偶像艺人、偶像藝人、アイドル”等统一为同一简体流派,
アイドル・芸能人,偶像艺人,偶像艺人,翻译/合并,与“偶像、偶像艺人、偶像藝人、アイドル”等统一为同一简体流派,
アクション・格闘,格斗,格斗,翻译/合并,与“格斗、格鬥家、アクション・格闘”统一为同一简体流派,
アクメ,アクメ,高潮,翻译/合并,与“高潮、アクメ、アクメ・オーガズム”统一为同一简体流派,
アクメ・オーガズム,高潮,高潮,翻译/合并,与“高潮、アクメ、アクメ・オーガズム”统一为同一简体流派,
アスリート,运动员,运动员,翻译/合并,与“运动员、アスリート”统一为同一简体流派,
アナル,肛交,肛交,翻译/合并,与“肛交、肛内中出、アナル、アナル中出し”等统一为同一简体流派,
アナル中出し,肛交,肛交,翻译/合并,与“肛交、肛内中出、アナル、アナル中出し”等统一为同一简体流派,
アナルセックス,肛交,肛交,翻译/合并,与“肛交、肛内中出、アナル、アナル中出し”等统一为同一简体流派,
アナルセックス（男の娘）,アナルセックス(男の娘),伪娘肛交,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
アナルバック,アナルバック,后入肛交,翻译/合并,翻译为简体中文或修正不自然写法,
アナルマンコ同時挿入,アナルマンコ同时挿入,双穴同插,翻译/合并,与“二穴挿入、二穴同插、二穴同入、アナルマンコ同時挿入”统一为同一简体流派,
イタズラ,恶作剧,恶作剧,翻译/合并,与“恶作剧、惡作劇、イタズラ”统一为同一简体流派,
イメージビデオ,介绍/预告,形象视频,调整现有映射,当前会处理为“介绍/预告”，建议修正语义或与同义项统一,
イラマチオ,深喉,深喉,翻译/合并,与“深喉、イラマチオ”统一为同一简体流派,
インストラクター,讲师,讲师,翻译/合并,与“讲师、講師、インストラクター”统一为同一简体流派,
インディーズ,独立制作,独立制作,翻译/合并,与“独立制作、インディーズ”统一为同一简体流派,
ウェイトレス,服务生,服务生,翻译/合并,与“服务生、服務生、ウェイトレス”统一为同一简体流派,
エステ,美容院/按摩,美容院/按摩,翻译/合并,与“美容院、美容院/按摩、エステ、エステ・マッサージ”统一为同一简体流派,
エステ・マッサージ,美容院/按摩,美容院/按摩,翻译/合并,与“美容院、美容院/按摩、エステ、エステ・マッサージ”统一为同一简体流派,
エプロン,エプロン,围裙,翻译/合并,与“圍裙、エプロン”统一为同一简体流派,
エマニエル,艾曼纽,艾曼纽,翻译/合并,与“艾曼纽、エマニエル”统一为同一简体流派,
お風呂,浴室,浴室,翻译/合并,与“风呂、浴室、お風呂”统一为同一简体流派,
お尻,お尻,臀部,翻译/合并,与“尻フェチ、屁股、臀部、お尻”统一为同一简体流派,
お母さん,母亲,母亲,翻译/合并,与“媽媽、母亲、母親、お母さん”统一为同一简体流派,
お嬢様・令嬢,年轻女士,年轻女士,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
お婆ちゃん,奶奶,奶奶,翻译/合并,与“奶奶、お婆ちゃん”统一为同一简体流派,
お爺ちゃん,爷爷,爷爷,翻译/合并,与“爷爷、お爺ちゃん”统一为同一简体流派,
お姉さん,轻熟女/姐姐,轻熟女/姐姐,翻译/合并,与“姐姐、轻熟女/姐姐、お姉さん”统一为同一简体流派,
オイルプレイ,油浴游戏,油浴游戏,翻译/合并,与“油浴游戏、オイルプレイ”统一为同一简体流派,
オタク,宅男宅女,宅男宅女,翻译/合并,与“宅男宅女、オタク”统一为同一简体流派,
オナサポ,自慰辅助,自慰辅助,翻译/合并,与“自慰辅助、オナサポ”统一为同一简体流派,
オナニー,自慰,自慰,翻译/合并,与“打飞机、打飛機、打手槍、淫荡手淫”等统一为同一简体流派,
オモチャ,玩具,玩具,翻译/合并,与“玩具、オモチャ、おもちゃ”统一为同一简体流派,
おもちゃ,玩具,玩具,翻译/合并,与“玩具、オモチャ、おもちゃ”统一为同一简体流派,
カーセックス,车内性爱,车内性爱,翻译/合并,与“车内性爱、汽車性愛、カーセックス”统一为同一简体流派,
カップル,恋爱/情侣,恋爱/情侣,翻译/合并,与“恋爱/情侣、恋愛、戀愛、情侶”等统一为同一简体流派,
キス・接吻,接吻,接吻,翻译/合并,与“接吻、キス・接吻”统一为同一简体流派,
キャバ嬢・風俗嬢,风俗娘/性工作者,风俗娘/性工作者,翻译/合并,与“风俗娘/性工作者、風俗、妓女、キャバ嬢・風俗嬢”统一为同一简体流派,
ギャル,辣妹,辣妹,翻译/合并,与“辣妹、ギャル、ギャル系”统一为同一简体流派,
ギャル系,ギャル系,辣妹,翻译/合并,与“辣妹、ギャル、ギャル系”统一为同一简体流派,
キャンギャル,展场女孩,展场女孩,翻译/合并,与“展场女孩、キャンギャル”统一为同一简体流派,
ギリモザ,薄码,薄码,翻译/合并,与“薄码、薄馬賽克、ギリモザ”统一为同一简体流派,
くすぐり,瘙痒,瘙痒,翻译/合并,与“瘙痒、瘙癢、くすぐり”统一为同一简体流派,
クスコ,器械,器械,翻译/合并,与“器械、クスコ”统一为同一简体流派,
クンニ,舔阴,舔阴,翻译/合并,与“舔阴、舔陰、クンニ”统一为同一简体流派,
ゲイ・ホモ,男同性恋,男同性恋,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
ゲロ,呕吐,呕吐,翻译/合并,与“呕吐、ゲロ”统一为同一简体流派,
コスプレ,角色扮演,角色扮演,翻译/合并,与“角色扮演、コスプレ”统一为同一简体流派,
ごっくん,吞精,吞精,翻译/合并,与“喝口水、精饮、吞精、ごっくん”统一为同一简体流派,
コンパニオン,伴侣,伴侣,翻译/合并,与“伴侣、コンパニオン”统一为同一简体流派,
シックスナイン,69,69,翻译/合并,与“69、六九式、シックスナイン”统一为同一简体流派,
ショートヘアー,短发,短发,翻译/合并,与“短发、ショートヘアー”统一为同一简体流派,
ショタ,正太控,正太控,翻译/合并,与“正太控、ショタ”统一为同一简体流派,
スーツ,职场女性,职场女性,翻译/合并,与“职场女性、OL、スーツ、ビジネススーツ”统一为同一简体流派,
スカトロ,粪便,粪便,翻译/合并,与“粪便、スカトロ”统一为同一简体流派,
スチュワーデス,空姐,空姐,翻译/合并,与“空姐、空中小姐、スチュワーデス”统一为同一简体流派,
スパンキング,打屁股,打屁股,翻译/合并,与“打屁股、スパンキング”统一为同一简体流派,
スポーツ,运动,运动,翻译/合并,与“运动、運動、スポーツ”统一为同一简体流派,
スレンダー,苗条,苗条,翻译/合并,与“苗条、苗條、スレンダー”统一为同一简体流派,
スワッピング・夫婦交換,交换伴侣,交换伴侣,翻译/合并,与“换妻俱乐部、交换伴侣、スワッピング・夫婦交換”统一为同一简体流派,
セーラー服,水手服,水手服,翻译/合并,与“水手服、セーラー服”统一为同一简体流派,
セクシー,性感,性感,翻译/合并,与“性感、性感的、セクシー”统一为同一简体流派,
セット商品,系列合集,系列合集,翻译/合并,翻译为简体中文或修正不自然写法,
セレブ,名人,名人,翻译/合并,与“名人、セレブ”统一为同一简体流派,
ソープ,泡泡浴,泡泡浴,翻译/合并,与“泡泡浴、ソープ”统一为同一简体流派,
その他フェチ,其他恋物癖,其他恋物癖,翻译/合并,与“其他恋物癖、其他戀物癖、その他フェチ”统一为同一简体流派,
ダーク系,黑暗系,黑暗系,翻译/合并,与“黑暗系、黑暗系統、ダーク系”统一为同一简体流派,
タレント,タレント,艺人,翻译/合并,与“艺人、タレント”统一为同一简体流派,
ダンス,跳舞,跳舞,翻译/合并,与“跳、跳舞、ダンス”统一为同一简体流派,
チアガール,啦啦队,啦啦队,翻译/合并,与“啦啦队、チアガール”统一为同一简体流派,
ツンデレ,傲娇,傲娇,翻译/合并,与“傲娇、蠻橫嬌羞、ツンデレ”统一为同一简体流派,
デート,约会,约会,翻译/合并,与“约会、約會、デート”统一为同一简体流派,
ディルド,假阳具,假阳具,翻译/合并,与“假阳具、ディルド”统一为同一简体流派,
デカチン,巨根,巨根,翻译/合并,与“巨根、デカチン、デカチン・巨根”统一为同一简体流派,
デカチン・巨根,巨根,巨根,翻译/合并,与“巨根、デカチン、デカチン・巨根”统一为同一简体流派,
デジモ,数码马赛克,数码马赛克,翻译/合并,与“数码马赛克、數位馬賽克、デジモ”统一为同一简体流派,
デビュー作品,出道,出道,翻译/合并,与“出道、初登場、处女作、首次亮相”等统一为同一简体流派,
ドール,娃娃,娃娃,翻译/合并,与“娃娃、ドール”统一为同一简体流派,
ドキュメンタリー,纪录片,纪录片,翻译/合并,与“纪录片、ドキュメンタリー、ドキュメント”统一为同一简体流派,
ドキュメント,纪录片,纪录片,翻译/合并,与“纪录片、ドキュメンタリー、ドキュメント”统一为同一简体流派,
ドラッグ,药物,药物,翻译/合并,与“药物、藥物、ドラッグ”统一为同一简体流派,
ドラマ,剧情,剧情,翻译/合并,与“剧情、戲劇、ドラマ”统一为同一简体流派,
ナンパ,猎艳,猎艳,翻译/合并,与“猎艳、獵豔、ナンパ”统一为同一简体流派,
ニーソックス,及膝袜,及膝袜,翻译/合并,与“及膝袜、及膝襪、ニーソックス”统一为同一简体流派,
ニューハーフ,跨性别/变性者,跨性别/变性者,翻译/合并,与“變性者、跨性别/变性者、ニューハーフ”统一为同一简体流派,
ネコミミ・獣系,猫耳女,猫耳女,翻译/合并,与“猫耳女、ネコミミ・獣系”统一为同一简体流派,
ノーパン,不穿内裤,不穿内裤,翻译/合并,与“不穿内裤、ノーパン”统一为同一简体流派,
ノーブラ,不穿胸罩,不穿胸罩,翻译/合并,与“不穿胸罩、ノーブラ”统一为同一简体流派,
ハーレム,后宫,后宫,翻译/合并,与“后宫、ハーレム”统一为同一简体流派,
ハイクオリティVR,高品质VR,高品质VR,翻译/合并,与“高品质VR、ハイクオリティVR”统一为同一简体流派,
パイズリ,乳交,乳交,翻译/合并,与“乳交、パイズリ”统一为同一简体流派,
パイパン,无毛,无毛,翻译/合并,与“白虎、无毛、無毛、パイパン”统一为同一简体流派,
ハイビジョン,高清,高清,翻译/合并,与“高畫質、高清、ハイビジョン、フルハイビジョン(FHD)”统一为同一简体流派,
バイブ,按摩棒,按摩棒,翻译/合并,与“按摩棒、バイブ”统一为同一简体流派,
バス,バス,公交车,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
バック,后入式,后入式,翻译/合并,与“背后插入、后背位、后入式、バック”统一为同一简体流派,
バニーガール,兔女郎,兔女郎,翻译/合并,与“兔女郎、バニーガール”统一为同一简体流派,
ハメ撮り,第一视角,第一视角,翻译/合并,与“第一人称视角、第一人稱攝影、第一视角、主观视角”等统一为同一简体流派,
パンスト,连裤袜/丝袜,连裤袜/丝袜,翻译/合并,与“连裤袜/丝袜、連褲襪、パンスト”统一为同一简体流派,
パンストモノ,丝袜,丝袜,翻译/合并,翻译为简体中文或修正不自然写法,
パンチラ,走光/内裤走光,走光/内裤走光,翻译/合并,与“走光/内裤走光、パンチラ”统一为同一简体流派,
ビジネススーツ,职场女性,职场女性,翻译/合并,与“职场女性、OL、スーツ、ビジネススーツ”统一为同一简体流派,
ピチピチ,ピチピチ,紧身,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
ビッチ,淫乱,淫乱,翻译/合并,与“蕩婦、花癡、淫乱、淫乱・ハード系”等统一为同一简体流派,
ファン感謝・訪問,粉丝答谢,粉丝答谢,翻译/合并,与“粉丝答谢、感谢祭、ファン感謝・訪問”统一为同一简体流派,
ファンタジー,幻想,幻想,翻译/合并,与“幻想、ファンタジー”统一为同一简体流派,
フィスト,拳交,拳交,翻译/合并,与“拳交、フィスト”统一为同一简体流派,
フェチ,恋物癖,恋物癖,翻译/合并,与“恋物癖、フェチ”统一为同一简体流派,
フェラ,口交,口交,翻译/合并,与“口交、フェラ、フェラモノ”统一为同一简体流派,
フェラモノ,口交,口交,翻译/合并,与“口交、フェラ、フェラモノ”统一为同一简体流派,
ふたなり,双性人,双性人,翻译/合并,与“双性人、ふたなり”统一为同一简体流派,
ぶっかけ,颜射,颜射,翻译/合并,与“颜射、顏射、顔射、ぶっかけ”统一为同一简体流派,
フルハイビジョン(FHD),高清,高清,翻译/合并,与“高畫質、高清、ハイビジョン、フルハイビジョン(FHD)”统一为同一简体流派,
ベスト・総集編,合集,合集,翻译/合并,与“合集、精选合集、総集編、ベスト・総集編”统一为同一简体流派,
ヘルス・ソープ,风俗/泡泡浴,风俗/泡泡浴,翻译/合并,与“风俗/泡泡浴、ヘルス・ソープ”统一为同一简体流派,
ぽっちゃり,丰满,丰满,翻译/合并,与“丰满、ぽっちゃり”统一为同一简体流派,
ボディコン,紧身裙,紧身裙,翻译/合并,与“紧身裙、ボディコン”统一为同一简体流派,
ホテル,酒店,酒店,翻译/合并,与“酒店、ホテル”统一为同一简体流派,
ポルチオ,子宫颈,子宫颈,翻译/合并,与“子宫颈、子宮頸、ポルチオ”统一为同一简体流派,
ボンテージ,捆绑,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
マッサージ,按摩,按摩,翻译/合并,与“按摩、マッサージ”统一为同一简体流派,
ママ友,妈妈朋友,妈妈朋友,翻译/合并,与“妈妈朋友、ママ友”统一为同一简体流派,
ミニ系,迷你,迷你,翻译/合并,与“迷你、ミニ系”统一为同一简体流派,
ミニ系・小柄,娇小,娇小,翻译/合并,与“娇小、嬌小的、瘦小身型、ミニ系・小柄”统一为同一简体流派,
ミニスカ,迷你裙,迷你裙,翻译/合并,与“迷你裙、ミニスカ”统一为同一简体流派,
メイド,女佣,女佣,翻译/合并,与“女仆、女佣、女傭、メイド”统一为同一简体流派,
メガネ,眼镜,眼镜,翻译/合并,与“眼镜、眼镜娘、眼鏡、メガネ”等统一为同一简体流派,
めがね,眼镜,眼镜,翻译/合并,与“眼镜、眼镜娘、眼鏡、メガネ”等统一为同一简体流派,
モデル,模特,模特,翻译/合并,与“模特、模特兒、モデル、モデル系”统一为同一简体流派,
モデル系,モデル系,模特,翻译/合并,与“模特、模特兒、モデル、モデル系”统一为同一简体流派,
ヨガ,瑜伽,瑜伽,翻译/合并,与“瑜伽、ヨガ”统一为同一简体流派,
ランジェリー,内衣,内衣,翻译/合并,与“內衣、内衣、ランジェリー”统一为同一简体流派,
ルーズソックス,泡泡袜,泡泡袜,翻译/合并,与“泡泡袜、泡泡襪、ルーズソックス”统一为同一简体流派,
レースクィーン,赛车女郎,赛车女郎,翻译/合并,与“赛车女郎、賽車女郎、レースクィーン”统一为同一简体流派,
レオタード,紧身衣,紧身衣,翻译/合并,与“紧身衣、緊身衣、レオタード”统一为同一简体流派,
レズ,女同性恋,女同性恋,翻译/合并,与“女同性恋、女同性戀、レズ”统一为同一简体流派,
レズキス,女同接吻,女同接吻,翻译/合并,与“女同接吻、レズキス”统一为同一简体流派,
ローション,润滑油,润滑油,翻译/合并,与“乳液、润滑剂、润滑油、ローション”等统一为同一简体流派,
ローション・オイル,润滑油,润滑油,翻译/合并,与“乳液、润滑剂、润滑油、ローション”等统一为同一简体流派,
ローター,跳蛋,跳蛋,翻译/合并,与“跳蛋、ローター”统一为同一简体流派,
ロリ,萝莉塔,萝莉塔,翻译/合并,与“萝莉塔、蘿莉塔、ロリ、ロリ系”统一为同一简体流派,
ロリ系,萝莉塔,萝莉塔,翻译/合并,与“萝莉塔、蘿莉塔、ロリ、ロリ系”统一为同一简体流派,
