检查类型,相似项,涉及原始流派,建议合并目标,是否建议合并,人工确认,理由
繁简/写法统一,逆强姦 / 逆强奸,电影:逆強姦 -> 逆强姦; 电影:Reverse Rape -> 逆强奸,逆强奸,是,否,同一含义，仅繁简混用；你已把 Reverse Rape 确认为`逆强奸`，建议统一。
同义合并,反向强奸 / 逆强奸,电影:逆レイプ -> 反向强奸; 电影:Reverse Rape -> 逆强奸,逆强奸,是,是,`逆レイプ` 与 Reverse Rape 语义接近；若你希望保留日式标签口径，用`逆强奸`统一。
繁简/写法统一,顏射,电影:ぶっかけ -> 顏射; 电影:顔射 -> 顏射; 电影:BUKKAKE -> 顏射; 电影:Facial -> 顏射; 电影:顏射 -> 顏射; 电影:颜射 -> 顏射,颜射,是,否,当前目标仍为繁体`顏射`，建议统一简体；多个来源已落到同一目标。
繁简/写法统一,顏面骑乘,电影:顔面騎乗 -> 顏面骑乘; 电影:Face Sitting -> 顏面骑乘; 电影:顏面騎乘 -> 顏面骑乘; 电影:騎在臉上 -> 顏面骑乘,颜面骑乘,是,否,当前目标仍含繁体`顏`，建议统一简体。
繁简/写法统一,為智能手机推荐垂直视频 / 竖屏视频,电影:Recommended vertical video for smartphone -> 為智能手机推荐垂直视频; 电影:為智能手機推薦垂直視頻 -> 為智能手机推荐垂直视频; 电影:スマホ専用縦動画 -> 竖屏视频; 电影:スマホ推奨縦動画 -> 竖屏视频; 电影:Special Smartphone Vertical Video -> 竖屏视频,竖屏视频,是,否,你已将相关手机竖屏项确认为`竖屏视频`，仍有两个繁体/长表达目标未合并。
同义合并,女优按摩棒 / 电动按摩棒,电影:女優按摩棒 -> 女优按摩棒; 电影:電マ -> 电动按摩棒; 电影:Big Vibrator -> 电动按摩棒; 电影:電動按摩器 -> 电动按摩棒,电动按摩棒,是,否,`女优按摩棒`是旧误译残留；同类项已确认到`电动按摩棒`。
同义合并,立即口交 / 立即性爱,电影:立即口交 -> 立即口交; 电影:即ハメ -> 立即性爱; 电影:Quickie -> 立即性爱,立即性爱,是,是,你已将 Quickie/即ハメ 确认为`立即性爱`，但中文旧目标`立即口交`仍存在；是否合并取决于你是否保留更细分行为。
同义合并,AV OPEN 2015 女优部门 / AVOPEN2016女优部门,电影:AV OPEN 2015 女優部門 -> AV OPEN 2015 女优部门; 电影:AV OPEN 2015 Porn Star Division -> AV OPEN 2015 女优部门; 电影:AVOPEN2016女優部門 -> AVOPEN2016女优部门; 电影:AV OPEN 2016 Porn Star Division -> AVOPEN2016女优部门,按年份保留，不合并,否,否,名称相似但年份不同，属于不同赛事/分区，不建议合并。
粒度确认,风俗/泡泡浴 / 泡泡浴 / 卖淫 / 妓女 / 陪酒女,电影:ヘルス・ソープ -> 风俗/泡泡浴; 电影:ソープ -> 泡泡浴; 电影:風俗 -> 卖淫; 电影:キャバ嬢・風俗嬢 -> 妓女; 电影:風俗嬢 -> 妓女; 电影:Club Hostess & Sex Worker -> 妓女; 电影:妓女 -> 妓女; 电影:キャバ嬢 -> 陪酒女,不直接合并,否,是,都属于相关成人职业/场景标签，但粒度不同；建议保留，除非你想把职业与场景统一成大类`风俗`。
粒度确认,酒店 / 风俗/泡泡浴 / 送货服务,电影:ホテル -> 酒店; 电影:ホテヘル -> 酒店; 电影:旅館 -> 酒店; 电影:ヘルス・ソープ -> 风俗/泡泡浴; 电影:デリヘル -> 送货服务,不直接合并,否,是,`酒店`可能来自 Hotel/旅馆，也可能混入ホテヘル语义；建议人工确认具体源词后再决定。
粒度确认,动画 / 动漫 / 样品动画 / 竖屏视频 / 男性形象视频,电影:Animation -> 动画; 电影:動画 -> 动画; 剧集:Animation -> 动画; 电影:Anime -> 动漫; 电影:アニメ -> 动漫; 电影:サンプル動画 -> 样品动画; 电影:スマホ専用縦動画 -> 竖屏视频; 电影:スマホ推奨縦動画 -> 竖屏视频; 电影:Special Smartphone Vertical Video -> 竖屏视频; 电影:イメージビデオ（男性） -> 男性形象视频; 电影:Pretty Boy -> 男性形象视频,不直接合并,否,是,名称相似但有类型、格式、素材用途差异；其中`動画 -> 动画`可能更应改成`视频`，但不应和 Animation 合并。
粒度确认,口交 / 口内射精 / 清洁口交,电影:フェラ -> 口交; 电影:フェラモノ -> 口交; 电影:Blowjob -> 口交; 电影:口交 -> 口交; 电影:口内発射 -> 口内射精; 电影:口内射精 -> 口内射精; 电影:お掃除フェラ -> 清洁口交; 电影:擦洗口交 -> 清洁口交,不直接合并,否,是,相关但不是同一动作/标签粒度；建议保留细分。
粒度确认,按摩 / 按摩棒 / 电动按摩棒,电影:マッサージ -> 按摩; 电影:Massage -> 按摩; 电影:按摩 -> 按摩; 电影:バイブ -> 按摩棒; 电影:Vibrator -> 按摩棒; 电影:按摩棒 -> 按摩棒; 电影:電マ -> 电动按摩棒; 电影:Big Vibrator -> 电动按摩棒; 电影:電動按摩器 -> 电动按摩棒,不直接合并,否,否,一个是行为/场景，一个是工具；不建议合并。
粒度确认,巨乳 / 爆乳 / 超乳,电影:巨乳 -> 巨乳; 电影:爆乳 -> 巨乳; 电影:Big Tits -> 巨乳; 电影:大胸 -> 巨乳; 电影:超乳 -> 超乳; 电影:Huge Tits -> 超乳,不直接合并,否,是,都是胸部尺寸相关标签，但强度不同；建议按你的媒体库偏好决定是否统一为`巨乳`。
粒度确认,成熟的女人 / 美丽成熟女性 / 轻熟女/姐姐,电影:熟女 -> 成熟的女人; 电影:Mature Woman -> 成熟的女人; 电影:成熟的女人 -> 成熟的女人; 电影:美熟女 -> 美丽成熟女性; 电影:お姉さん -> 轻熟女/姐姐,不直接合并,否,是,年龄/气质层级不同；你已把`お姉さん`确认成`轻熟女/姐姐`，建议不要再并入`成熟的女人`。
粒度确认,搭讪 / 猎艳 / 反向搭讪 / 倒追,电影:搭訕 -> 搭讪; 电影:ナンパ -> 猎艳; 电影:Picking Up Girls -> 猎艳; 电影:獵豔 -> 猎艳; 电影:逆ナンパ -> 反向搭讪; 电影:逆ナン -> 倒追; 电影:Reverse Pick Up -> 倒追; 电影:倒追 -> 倒追,不直接合并,否,是,相关但主动方/语境不同；如果只关心大类可统一，否则建议保留。
粒度确认,强奸 / 逆强奸,电影:強姦 -> 强奸; 电影:レイプ -> 强奸; 电影:Rape -> 强奸; 电影:强姦 -> 强奸; 电影:Reverse Rape -> 逆强奸,不直接合并,否,否,方向/语义不同，不建议合并。
粒度确认,同性恋 / 男同性恋 / 女同性恋,电影:同性戀 -> 同性恋; 电影:ゲイ・ホモ -> 男同性恋; 电影:Gay -> 男同性恋; 电影:男同性恋 -> 男同性恋; 电影:レズ -> 女同性恋; 电影:Lesbian -> 女同性恋; 电影:女同性戀 -> 女同性恋,不直接合并,否,否,大类和细分类不同，保留更利于筛选。
粒度确认,迷你 / 迷你裙 / 迷你剧,电影:ミニ系 -> 迷你; 电影:ミニスカ -> 迷你裙; 电影:ミニスカート -> 迷你裙; 电影:Miniskirt -> 迷你裙; 电影:迷你裙 -> 迷你裙; 剧集:Mini-Series -> 迷你剧,不直接合并,否,否,字面相似但语义完全不同。
粒度确认,音乐 / 音乐剧,电影:Music -> 音乐; 剧集:Music -> 音乐; 电影:Musical -> 音乐剧; 剧集:Musical -> 音乐剧,不直接合并,否,否,相似但类型不同。
粒度确认,30多岁 / 40多岁 / 50多岁 / 60多岁,电影:三十路 -> 30多岁; 电影:四十路 -> 40多岁; 电影:五十路 -> 50多岁; 电影:六十路 -> 60多岁,不直接合并,否,否,年龄段不同，不建议合并。
