分类,原始流派名称,当前代码翻译流派名称,建议优化翻译流派名称,优化建议,人工确认
电影,Actress Best Compilation,最佳女演员/合集,,,
电影,Hot Spring,温泉,,,
电影,Masochist Man,受虐狂,,,
电影,Original Collaboration,与原创作品合作,,,
电影,More Than 16 Hours Of Footage,16时间以上作品,,,
电影,Huge Dick - Large Dick,巨根,,,
电影,Fan Appreciation/ Home Visit,粉丝答谢/探访,,,
电影,Big Asses,大屁股,,,
电影,Suntan,日光浴,,,
电影,Premature Ejaculation,早泄,,,
电影,Kiss Kiss,接吻,,,
电影,Sweating,汗流浃背,,,
电影,Special Smartphone Vertical Video,智能手机竖屏动画,竖屏视频,`動画/video`应译为`视频`，不是`动画`。,否
电影,Pretty Boy,男性形象视频,,,
电影,BL,耽美,,,
电影,Time Freezing,时间停止,,,
电影,YAKUZA,黑帮成员,,,
电影,Childhood Friend,童年朋友,,,
电影,Princess,公主,,,
电影,Asian Actress,亚洲女演员,,,
电影,Hostess,伴侣,,,
电影,Instructor,讲师,,,
电影,Stepmom,婆婆,继母/义母,英文 Stepmom 指继母；当前`婆婆`过窄且经常错。,是
电影,Action & Fighting,格斗家,,,
电影,Female Detective,女检察官,,,
电影,Lookalike,明星脸,,,
电影,Housewife,女主人、女老板,,,
电影,Model,模特儿,,,
电影,Secretary,秘书,,,
电影,Beautiful Girl,美少女,,,
电影,Young Wife,新娘、年轻妻子,,,
电影,Older Sister,姐姐,,,
电影,Bus Tour Guide,车掌小姐,,,
电影,Widow,寡妇,,,
电影,Princess & Mademoiselle,千金小姐,,,
电影,Caucasian Actress,白人,,,
电影,Married Woman,已婚妇女,,,
电影,Female Doctor,女医生,,,
电影,Various Worker,各种职业,,,
电影,Club Hostess & Sex Worker,妓女,,,
电影,Race Queen,赛车女郎,,,
电影,College Girl,女大学生,,,
电影,Campaign Girl,展场女孩,,,
电影,Female Teacher,女教师,,,
电影,MILF,母亲,,,
电影,Private Tutor,家教,,,
电影,Nurse,护士,,,
电影,Slut,荡妇,,,
电影,Black Man,黑人演员,,,
电影,Gal,女生,,,
电影,Female Anchor,女主播,,,
电影,Schoolgirl,高中女生,,,
电影,Waitress,服务生,,,
电影,Magical Girl,魔法少女,,,
电影,Student (Other),学生（其他）,,,
电影,Anime Character,动画人物,,,
电影,Live Game Filming Edition,游戏的真人版,,,
电影,Super Heroine,超级女英雄,,,
电影,Female Soldier,女战士,,,
电影,Knee-High Socks,及膝袜,,,
电影,Doll,娃娃,,,
电影,Female Ninja,女忍者,,,
电影,Cross Dresser,女装人妖,,,
电影,Panty Shot,内衣,走光/内裤走光,当前`内衣`过宽，源词强调走光/窥见。,是
电影,Non-nude Erotica,猥亵穿着,,,
电影,Bunny Girl,兔女郎,,,
电影,Animal Ears,猫耳女,,,
电影,Priestess,女祭司,,,
电影,Loose Socks,泡泡袜,,,
电影,Uniform,制服,,,
电影,Leotards,紧身衣,,,
电影,Naked Apron,裸体围裙,,,
电影,Miniskirt Police,迷你裙警察,,,
电影,Stewardess,空中小姐,,,
电影,Pantyhose,连裤袜,,,
电影,Tight Dress,身体意识,紧身裙,当前`身体意识`是明显机翻，不像媒体标签。,否
电影,Office Lady,OL,,,
电影,KIMONO,和服・丧服,和服/浴衣,当前包含`丧服`，与源词不符。,否
电影,Gym Clothes,体育服,,,
电影,Lingerie,内衣,,,
电影,Sailor Uniform,水手服,,,
电影,School Swimsuits,学校泳装,,,
电影,Chinese Dress,旗袍,,,
电影,Maid,女佣,,,
电影,Miniskirt,迷你裙,,,
电影,School Uniform,校服,,,
电影,Swimsuits,泳装,,,
电影,Glasses,眼镜,,,
电影,Cosplay,角色扮演,,,
电影,GothLoli,哥德萝莉,,,
电影,Huge Tits,超乳,,,
电影,Muscular,肌肉,,,
电影,Beautiful Tits,乳房,,,
电影,Short & Petite,娇小的,,,
电影,Ass Lover,屁股,,,
电影,Tall Girl,高,高挑/高个子,当前翻译不完整。,是
电影,Transsexual,变性者,,,
电影,Shaved Pussy,无毛,,,
电影,Chubby,胖女人,丰满/微胖,语气更自然，并与`ぽっちゃり`一致。,是
电影,Slender,苗条,,,
电影,Pregnant,孕妇,,,
电影,Mature Woman,成熟的女人,,,
电影,Lolicon,萝莉塔,,,
电影,Small Tits,贫乳・微乳,贫乳/微乳,统一分隔符和简体中文。,否
电影,Big Tits,巨乳,,,
电影,Face Sitting,顏面骑乘,,,
电影,Scat,粪便,,,
电影,Footjob,足交,,,
电影,Breast Milk,母乳,,,
电影,Fingering,手指插入,,,
电影,Massage,按摩,,,
电影,Cowgirl,女上位,,,
电影,Cunnilingus,舔阴,,,
电影,Fisting,拳交,,,
电影,Deep Throat,深喉,,,
电影,69,69,,,
电影,Dirty Talk,淫语,,,
电影,Squirting,潮吹,,,
电影,Titty Fuck,乳交,,,
电影,Pooping,排便,,,
电影,Golden Shower,饮尿,,,
电影,Blowjob,口交,,,
电影,Orgy,滥交,,,
电影,Urination,放尿,,,
电影,Handjob,打手枪,,,
电影,Cum Swallowing,吞精,,,
电影,Anal,肛交,,,
电影,BUKKAKE,顏射,,,
电影,Masturbation,自慰,,,
电影,Facial,顏射,,,
电影,Creampie,中出,,,
电影,AF,肛内中出,,,
电影,Quickie,立即口交,立即性爱,当前`立即口交`改变了行为类型，误导性强。,是
电影,Big Vibrator,女优按摩棒,电动按摩棒,当前多加了`女优`，语义不对。,否
电影,G-Spot,子宫颈,G点,G-Spot 不是子宫颈。,否
电影,Hypnotism,催眠,,,
电影,Lotion,乳液,,,
电影,Shame,羞耻,,,
电影,Torture & Rape,羞辱,,,
电影,Tied Up,拘束,,,
电影,Gang Bang,轮奸,,,
电影,Object Insertion,插入异物,,,
电影,Gyno Exam,鸭嘴,,,
电影,Enema,灌肠,,,
电影,Confinement,监禁,,,
电影,Bondage,紧缚,,,
电影,Rape,强奸,,,
电影,Drugs,药物,,,
电影,Car Sex,汽车性爱,,,
电影,BDSM,SM,,,
电影,Sex Toys,玩具,,,
电影,Egg Vibrator,跳蛋,,,
电影,Vibrator,按摩棒,,,
电影,Threesome / Foursome,多P,,,
电影,Eros,性爱,,,
电影,Dildo,假阳具,,,
电影,Reverse Rape,逆强姦,逆强奸,直接使用简体最终值。,否
电影,Collaboration work,合作作品,,,
电影,Boys Love,给女性观众,,,
电影,DMM Exclusive,DMM独家,,,
电影,Restricted to Under ,R-18,,,
电影,Special Effects,特效,,,
电影,Series,故事集,,,
电影,Sale (limited time),限时降价,,,
电影,Reprint,复刻版,,,
电影,Love,恋爱,,,
电影,Hi-Def,高画质,,,
电影,POV,第一视角,,,
电影,Idol Video,介绍影片,,,
电影,Over 4 Hours,4小时以上作品,,,
电影,Minimal Mosaic,薄马赛克,,,
电影,Classics,经典,,,
电影,Debut,首次亮相,,,
电影,Digital Mosaic,数位马赛克,,,
电影,Homemade,投稿,,,
电影,Foreign Imports,国外进口,,,
电影,Amateur,业余,,,
电影,Genital Close-Up,局部特写,,,
电影,Independent,独立影片,,,
电影,Featured Actress,单体作品,,,
电影,Compilation,合集,,,
电影,High Definition,高清,,,
电影,Subtitle,字幕,,,
电影,Paradise TV,天堂TV,,,
电影,DVD Toaster,DVD多士炉,,,
电影,AV OPEN 2015 Kink/Fetish Division,AV OPEN 2015 マニア/フェチ部门,,,
电影,AV OPEN 2015 Cougar Division,AV OPEN 2015 熟女部门,,,
电影,AV OPEN 2015 Variety Show Division,AV OPEN 2015 企画部门,,,
电影,AV OPEN 2015 Virgin Division,AV OPEN 2015 乙女部门,,,
电影,AV OPEN 2015 Amateur Division,AV OPEN 2015 素人部门,,,
电影,AV OPEN 2015 S&M/Hardcore Division,AV OPEN 2015 SM/ハード部门,,,
电影,AV OPEN 2015 Porn Star Division,AV OPEN 2015 女优部门,,,
电影,AV OPEN 2016 Kink/Fetish Division,AVOPEN2016人妻・熟女部门,2016 AV大赏人妻・熟女作品,当前映射到了错误分区。,是
电影,AV OPEN 2016 Variety Show Division,AVOPEN2016企画部门,,,
电影,AV OPEN 2016 S&M/Hardcore Division,AVOPEN2016ハード部门,,,
电影,AV OPEN 2016 Virgin Division,AVOPEN2016乙女部门,,,
电影,AV OPEN 2016 Porn Star Division,AVOPEN2016女优部门,,,
电影,AV OPEN 2016 Amateur Division,AVOPEN2016素人部门,,,
电影,Gag·Comedy,堵嘴·喜剧,喜剧,`gag`在这里是笑料，不是堵嘴。,否
电影,Gender transformation·feminization,性别转型·女性化,,,
电影,Recommended vertical video for smartphone,為智能手机推荐垂直视频,,,
电影,Set items,设置项目,系列合集,当前像配置项，不像媒体标签。,否
电影,Mini series,迷你系列,,,
电影,Experience confession,体验忏悔,,,
电影,Dark system,黑暗系统,,,
电影,折磨,折磨,,,
电影,嘔吐,呕吐,,,
电影,觸手,触手,,,
电影,蠻橫嬌羞,蛮横娇羞,,,
电影,處男,处男,,,
电影,正太控,正太控,,,
电影,出軌,绿帽/戴绿帽,,,
电影,瘙癢,瘙痒,,,
电影,運動,运动,,,
电影,女同接吻,女同接吻,,,
电影,性感的,性感,,,
电影,美容院,美容院,,,
电影,處女,处女,,,
电影,爛醉如泥的,烂醉如泥的,,,
电影,殘忍畫面,残忍画面,,,
电影,惡作劇,恶作剧,,,
电影,學校作品,学校作品,,,
电影,粗暴,粗暴,,,
电影,通姦,通奸,,,
电影,姐妹,姐妹,,,
电影,雙性人,双性人,,,
电影,跳舞,跳舞,,,
电影,性奴,性奴,,,
电影,倒追,倒追,,,
电影,性騷擾,性骚扰,,,
电影,其他,其他,,,
电影,戀腿癖,恋腿癖,,,
电影,偷窥,偷窥,,,
电影,花癡,花痴,,,
电影,男同性恋,男同性恋,,,
电影,情侶,情侣,,,
电影,戀乳癖,恋乳癖,,,
电影,亂倫,乱伦,,,
电影,其他戀物癖,其他恋物癖,,,
电影,偶像藝人,偶像艺人,,,
电影,獵豔,猎艳,,,
电影,女同性戀,女同性恋,,,
电影,企畫,企画,,,
电影,科幻,科幻,,,
电影,黑幫成員,黑帮成员,,,
电影,童年朋友,童年朋友,,,
电影,公主,公主,,,
电影,亞洲女演員,亚洲女演员,,,
电影,伴侶,伴侣,,,
电影,講師,讲师,,,
电影,婆婆,婆婆,,,
电影,格鬥家,格斗家,,,
电影,女檢察官,女检察官,,,
电影,明星臉,明星脸,,,
电影,女主人、女老板,女主人、女老板,,,
电影,模特兒,模特儿,,,
电影,新娘、年輕妻子,新娘、年轻妻子,,,
电影,姐姐,姐姐,,,
电影,車掌小姐,车掌小姐,,,
电影,寡婦,寡妇,,,
电影,千金小姐,千金小姐,,,
电影,白人,白人,,,
电影,已婚婦女,已婚妇女,,,
电影,女醫生,女医生,,,
电影,各種職業,各种职业,,,
电影,妓女,妓女,,,
电影,賽車女郎,赛车女郎,,,
电影,女大學生,女大学生,,,
电影,展場女孩,展场女孩,,,
电影,家教,家教,,,
电影,护士,护士,,,
电影,蕩婦,荡妇,,,
电影,黑人演員,黑人演员,,,
电影,女生,女生,,,
电影,女主播,女主播,,,
电影,高中女生,高中女生,,,
电影,服務生,服务生,,,
电影,學生（其他）,学生（其他）,,,
电影,動畫人物,动画人物,,,
电影,遊戲的真人版,游戏的真人版,,,
电影,超級女英雄,超级女英雄,,,
电影,女戰士,女战士,,,
电影,及膝襪,及膝袜,,,
电影,娃娃,娃娃,,,
电影,女忍者,女忍者,,,
电影,女裝人妖,女装人妖,,,
电影,內衣,内衣,,,
电影,猥褻穿著,猥亵穿着,,,
电影,兔女郎,兔女郎,,,
电影,貓耳女,猫耳女,,,
电影,女祭司,女祭司,,,
电影,泡泡襪,泡泡袜,,,
电影,緊身衣,紧身衣,,,
电影,裸體圍裙,裸体围裙,,,
电影,迷你裙警察,迷你裙警察,,,
电影,空中小姐,空中小姐,,,
电影,連褲襪,连裤袜,,,
电影,身體意識,身体意识,,,
电影,和服・喪服,和服・丧服,,,
电影,體育服,体育服,,,
电影,水手服,水手服,,,
电影,學校泳裝,学校泳装,,,
电影,旗袍,旗袍,,,
电影,女傭,女佣,,,
电影,迷你裙,迷你裙,,,
电影,校服,校服,,,
电影,泳裝,泳装,,,
电影,眼鏡,眼镜,,,
电影,角色扮演,角色扮演,,,
电影,哥德蘿莉,哥德萝莉,,,
电影,肌肉,肌肉,,,
电影,乳房,乳房,,,
电影,嬌小的,娇小的,,,
电影,屁股,屁股,,,
电影,高,高,,,
电影,變性者,变性者,,,
电影,無毛,无毛,,,
电影,胖女人,胖女人,,,
电影,苗條,苗条,,,
电影,孕婦,孕妇,,,
电影,成熟的女人,成熟的女人,,,
电影,蘿莉塔,萝莉塔,,,
电影,顏面騎乘,顏面骑乘,,,
电影,足交,足交,,,
电影,手指插入,手指插入,,,
电影,按摩,按摩,,,
电影,女上位,女上位,,,
电影,舔陰,舔阴,,,
电影,拳交,拳交,,,
电影,深喉,深喉,,,
电影,潮吹,潮吹,,,
电影,乳交,乳交,,,
电影,排便,排便,,,
电影,口交,口交,,,
电影,濫交,滥交,,,
电影,打手槍,打手枪,,,
电影,吞精,吞精,,,
电影,肛交,肛交,,,
电影,顏射,顏射,,,
电影,自慰,自慰,,,
电影,中出,中出,,,
电影,肛内中出,肛内中出,,,
电影,立即口交,立即口交,,,
电影,女優按摩棒,女优按摩棒,,,
电影,子宮頸,子宫颈,,,
电影,催眠,催眠,,,
电影,乳液,乳液,,,
电影,插入異物,插入异物,,,
电影,鴨嘴,鸭嘴,,,
电影,灌腸,灌肠,,,
电影,紧缚,紧缚,,,
电影,藥物,药物,,,
电影,汽車性愛,汽车性爱,,,
电影,糞便,粪便,,,
电影,玩具,玩具,,,
电影,跳蛋,跳蛋,,,
电影,緊縛,紧缚,,,
电影,按摩棒,按摩棒,,,
电影,多P,多P,,,
电影,性愛,性爱,,,
电影,假陽具,假阳具,,,
电影,逆強姦,逆强姦,,,
电影,合作作品,合作作品,,,
电影,恐怖,恐怖,,,
电影,給女性觀眾,给女性观众,,,
电影,教學,教学,,,
电影,DMM專屬,DMM专属,,,
电影,特效,特效,,,
电影,故事集,故事集,,,
电影,限時降價,限时降价,,,
电影,複刻版,复刻版,,,
电影,戲劇,戏剧,,,
电影,戀愛,恋爱,,,
电影,高畫質,高画质,,,
电影,主觀視角,主观视角,,,
电影,介紹影片,介绍影片,,,
电影,4小時以上作品,4小时以上作品,,,
电影,薄馬賽克,薄马赛克,,,
电影,經典,经典,,,
电影,首次亮相,首次亮相,,,
电影,數位馬賽克,数位马赛克,,,
电影,纪录片,纪录片,,,
电影,國外進口,国外进口,,,
电影,第一人稱攝影,第一视角,,,
电影,業餘,业余,,,
电影,局部特寫,局部特写,,,
电影,獨立製作,独立影片,,,
电影,DMM獨家,DMM独家,,,
电影,單體作品,单体作品,,,
电影,合集,合集,,,
电影,高清,高清,,,
电影,天堂TV,天堂TV,,,
电影,DVD多士爐,DVD多士炉,,,
电影,堵嘴·喜劇,堵嘴·喜剧,,,
电影,幻想,幻想,,,
电影,性別轉型·女性化,性别转型·女性化,,,
电影,為智能手機推薦垂直視頻,為智能手机推荐垂直视频,,,
电影,設置項目,设置项目,,,
电影,迷你係列,迷你系列,,,
电影,體驗懺悔,体验忏悔,,,
电影,黑暗系統,黑暗系统,,,
电影,騎在臉上,顏面骑乘,,,
电影,艾玛妮,艾曼纽,,,
电影,被遗弃,放置,,,
电影,擦洗口交,清洁口交,,,
电影,第一視角,第一视角,,,
电影,後入,后入,,,
电影,後入內射,后入內射,,,
电影,護士,护士,,,
电影,紀錄片,纪录片,,,
电影,嬌小,娇小,,,
电影,巨大陽具,巨根,,,
电影,巨大陰莖,巨根,,,
电影,劇情,剧情,,,
电影,老師,教师,,,
电影,戀物癖,恋物癖,,,
电影,旅館,酒店,,,
电影,S級女優,S级女优,,,
电影,业餘,业余,,,
电影,亂交,滥交,,,
电影,体验懺悔,体验忏悔,,,
电影,做家務,做家务,,,
电影,側位內射,侧位内射,,,
电影,同性戀,同性恋,,,
电影,喪服,丧服,,,
电影,學校,学校,,,
电影,店員,店员,,,
电影,廚房,厨房,,,
电影,房間,房间,,,
电影,手銬,手铐,,,
电影,打底褲,打底裤,,,
电影,振動,震动,,,
电影,推薦作品,推荐作品,,,
电影,晚禮服,晚礼服,,,
电影,檢查,检查,,,
电影,沙發,沙发,,,
电影,治癒系,治愈系,,,
电影,淫亂真實,淫乱真实,,,
电影,淫蕩,淫荡,,,
电影,滥交,滥交,,,
电影,煩惱,烦恼,,,
电影,牛仔褲,牛仔裤,,,
电影,短褲,短裤,,,
电影,綁縛,绑缚,,,
电影,網襪,网袜,,,
电影,给女性观眾,给女性观众,,,
电影,職員,职员,,,
电影,肛門,肛门,,,
电影,蘿莉,萝莉,,,
电影,裸體襪子,裸体袜子,,,
电影,視訊小姐,视讯小姐,,,
电影,變態,变态,,,
电影,豐滿,丰满,,,
电影,購物,购物,,,
电影,轮姦,轮奸,,,
电影,連續內射,连续内射,,,
电影,連衣裙,连衣裙,,,
电影,遠程操作,远程操作,,,
电影,醫生,医生,,,
电影,長發,长发,,,
电影,門口,门口,,,
电影,陰道觀察,阴道观察,,,
电影,電動按摩器,电动按摩棒,,,
电影,電動陽具,电动阳具,,,
电影,不戴胸罩,不穿胸罩,,,
电影,主婦,主妇,,,
电影,內射,内射,,,
电影,不穿內褲,不穿内裤,,,
电影,偶像,偶像艺人,,,
电影,偷拍,偷窥,,,
电影,后入式,后入,,,
电影,偷窺,偷窥,,,
电影,大胸,巨乳,,,
电影,大阴茎,巨根,,,
电影,女仆,女佣,,,
电影,女僕,女佣,,,
电影,强姦,强奸,,,
电影,搭訕,搭讪,,,
电影,最佳合集,最佳女演员/合集,,,
电影,服侍,服务生,,,
电影,模特,模特儿,,,
电影,泳衣,泳装,,,
电影,淫亂,淫乱,,,
电影,溫泉,温泉,,,
电影,满的高清,高清,,,
电影,騎乘位,骑乘位,,,
电影,首次,首次亮相,,,
电影,首次作品,首次亮相,,,
电影,颜射,顏射,,,
电影,第一人称摄影,第一视角,,,
电影,站立姿勢,站立位,,,
电影,白領,白领,,,
电影,独立製作,独立影片,,,
电影,無碼流出,无码流出,,,
电影,無碼破解,无码流出,,,
电影,潤滑劑,含润滑液,,,
电影,潤滑油,含润滑液,,,
剧集,Action,动作,,,
剧集,Adventure,冒险,,,
剧集,Animation,动画,,,
剧集,Biography,传记,,,
剧集,Comedy,喜剧,,,
剧集,Crime,犯罪,,,
剧集,Documentary,纪录片,,,
剧集,Drama,剧情,,,
剧集,Family,家庭,,,
剧集,Fantasy,奇幻,,,
剧集,Food,美食,,,
剧集,Game Show,游戏节目,,,
剧集,History,历史,,,
剧集,Holiday,节日,,,
剧集,Horror,恐怖,,,
剧集,Mini-Series,迷你剧,,,
剧集,Music,音乐,,,
剧集,Musical,音乐剧,,,
剧集,Mystery,悬疑,,,
剧集,Reality,纪实,,,
剧集,Reality TV,真人秀电视,真人秀,`真人秀电视`略别扭，媒体库里通常用`真人秀`。,否
剧集,Romance,浪漫,爱情,与电影 Romance -> 爱情 统一。,是
剧集,Sci-Fi & Fantasy,科幻与奇幻,,,
剧集,Science Fiction,科幻,,,
剧集,Short,短片,,,
剧集,Soap,肥皂剧,,,
剧集,Sport,运动,,,
剧集,Suspense,悬念,悬疑,与电影里的 Suspense/Mystery 翻译口径统一。,否
剧集,Talk Show,脱口秀,,,
剧集,Thriller,惊悚,,,
剧集,Travel,旅行,,,
剧集,War,战争,,,
剧集,Western,西部,,,
剧集,Animal,动物,,,
剧集,War & Politics,战争与政治,,,